Combination Number,Num Particles,Window Length (m),Animation Interval (ms),Window Attraction Strength,AC Repulsion Strength,Num Runs,n-times Elapsed Time (s),Average Escape Time (s)
1,30276,0.5,0.5,0.05,0,5,7.611002445,1.521270895
2,30276,0.5,0.5,0.05,0,5,6.160968542,1.231152058
3,30276,0.5,0.5,0.05,0,5,5.58121562,1.115720701
4,30276,0.5,0.5,0.05,0,5,8.556557655,1.710482407
5,30276,0.5,0.5,0.05,0,5,6.328390837,1.265007114
6,30276,0.5,0.5,0.05,0,5,5.453159809,1.089911747
7,30276,0.5,0.5,0.05,0,5,4.245270729,0.848561859
8,30276,0.5,0.5,0.05,0,5,4.263912678,0.852112532
9,30276,0.5,0.5,0.05,0,5,6.150829315,1.22902503
10,30276,0.5,0.5,0.05,0,5,7.176484346,1.434007978
11,30276,0.5,0.5,0.05,0,5,6.032176971,1.205878115
12,30276,0.5,0.5,0.05,0,5,5.640060186,1.127290773
13,30276,0.5,0.5,0.05,0,5,7.598243237,1.518745375
14,30276,0.5,0.5,0.05,0,5,6.431385994,1.285674524
15,30276,0.5,0.5,0.05,0,5,6.094734669,1.217836761
16,30276,0.5,0.5,0.05,0,5,7.296751499,1.458536911
17,30276,0.5,0.5,0.05,0,5,6.415697813,1.282498741
18,30276,0.5,0.5,0.05,0,5,5.74939394,1.148749685
19,30276,0.5,0.5,0.05,0,5,13.19420505,2.637524748
20,30276,0.5,0.5,0.05,0,5,8.514187098,1.701927471
21,30276,0.5,0.5,0.05,0,5,7.149445295,1.428845453
22,30276,0.5,0.5,0.05,0,5,6.611765623,1.321139908
23,30276,0.5,0.5,0.05,0,5,5.334170103,1.065614557
24,30276,0.5,0.5,0.05,0,5,5.4563272,1.09042902
25,30276,0.5,0.5,0.05,0,5,7.345703125,1.468623877
26,30276,0.5,0.5,0.05,0,5,6.170586348,1.233240461
27,30276,0.5,0.5,0.05,0,5,6.240280628,1.247242451
28,30276,0.5,0.5,0.05,0,5,4.99659276,0.998661757
29,30276,0.5,0.5,0.05,0,5,6.778918505,1.354793739
30,30276,0.5,0.5,0.05,0,5,6.052788258,1.20946846
31,30276,0.5,0.5,0.05,0,5,5.607550144,1.120696735
32,30276,0.5,0.5,0.05,0,5,6.918945313,1.383071089
33,30276,0.5,0.5,0.05,0,5,6.479088783,1.294630051
34,30276,0.5,0.5,0.05,0,5,5.459913492,1.091377211
35,30276,0.5,0.5,0.05,0,5,8.145611286,1.628040361
36,30276,0.5,0.5,0.05,0,5,8.305629253,1.659993696
37,30276,0.5,0.5,0.05,0,5,8.47289896,1.693406773
38,30276,0.5,0.5,0.05,0,5,7.33557272,1.466204548
39,30276,0.5,0.5,0.05,0,5,7.413408041,1.481119537
40,30276,0.5,0.5,0.05,0,5,8.621502876,1.72296133
41,30276,0.5,0.5,0.05,0,5,7.526815414,1.504362154
42,30276,0.5,0.5,0.05,0,5,7.50318408,1.499474669
43,30276,0.5,0.5,0.05,0,5,9.098572731,1.819007015
44,30276,0.5,0.5,0.05,0,5,8.715865612,1.742164183
45,30276,0.5,0.5,0.05,0,5,8.10238719,1.619272709
46,30276,0.5,0.5,0.05,0,5,9.497225285,1.898367548
47,30276,0.5,0.5,0.05,0,5,8.027436256,1.604607058
48,30276,0.5,0.5,0.05,0,5,8.040775299,1.60699048
49,30276,0.5,0.5,0.05,0,5,6.845711708,1.368083334
50,30276,0.5,0.5,0.05,0,5,6.179593325,1.235219336
51,30276,0.5,0.5,0.05,0,5,6.864198446,1.371750879
52,30276,0.5,0.5,0.05,0,5,6.834899187,1.36599102
53,30276,0.5,0.5,0.05,0,5,8.513821602,1.701994228
54,30276,0.5,0.5,0.05,0,5,6.321017027,1.263120699
55,30276,0.5,0.5,0.05,0,5,5.848006248,1.168919802
56,30276,0.5,0.5,0.05,0,5,5.358393908,1.070828676
57,30276,0.5,0.5,0.05,0,5,6.042169094,1.207399845
58,30276,0.5,0.5,0.05,0,5,5.580729246,1.115289688
59,30276,0.5,0.5,0.05,0,5,5.367694855,1.073125029
60,30276,0.5,0.5,0.05,0,5,7.28113699,1.455217886
61,30276,0.5,0.5,0.05,0,5,7.03094101,1.405355787
62,30276,0.5,0.5,0.05,0,5,6.363846779,1.272053099
63,30276,0.5,0.5,0.05,0,5,5.435824156,1.086609459
1,30276,0.8,0.5,0.05,0,5,6.602333307,1.320110798
2,30276,0.8,0.5,0.05,0,5,5.411390543,1.081419373
3,30276,0.8,0.5,0.05,0,5,6.286820412,1.256729698
4,30276,0.8,0.5,0.05,0,5,7.519435644,1.50312562
5,30276,0.8,0.5,0.05,0,5,6.373037338,1.274224281
6,30276,0.8,0.5,0.05,0,5,6.657752275,1.330483103
7,30276,0.8,0.5,0.05,0,5,5.68512845,1.136075687
8,30276,0.8,0.5,0.05,0,5,5.456866503,1.090699339
9,30276,0.8,0.5,0.05,0,5,7.819138288,1.562618971
10,30276,0.8,0.5,0.05,0,5,5.258329868,1.05052433
11,30276,0.8,0.5,0.05,0,5,5.19239378,1.037663603
12,30276,0.8,0.5,0.05,0,5,4.456374645,0.890491056
13,30276,0.8,0.5,0.05,0,5,6.747348785,1.349138594
14,30276,0.8,0.5,0.05,0,5,6.127498865,1.224472666
15,30276,0.8,0.5,0.05,0,5,5.803155899,1.159408808
16,30276,0.8,0.5,0.05,0,5,8.695135355,1.737976742
17,30276,0.8,0.5,0.05,0,5,6.861245394,1.371408558
18,30276,0.8,0.5,0.05,0,5,5.658425808,1.130819416
19,30276,0.8,0.5,0.05,0,5,7.459894896,1.491189146
20,30276,0.8,0.5,0.05,0,5,7.515051603,1.502709055
21,30276,0.8,0.5,0.05,0,5,7.762940645,1.551483536
22,30276,0.8,0.5,0.05,0,5,6.25981617,1.251218081
23,30276,0.8,0.5,0.05,0,5,5.464959145,1.092461348
24,30276,0.8,0.5,0.05,0,5,4.694180727,0.937913418
25,30276,0.8,0.5,0.05,0,5,6.019074917,1.203063726
26,30276,0.8,0.5,0.05,0,5,5.491464853,1.097405291
27,30276,0.8,0.5,0.05,0,5,4.682056904,0.935811853
28,30276,0.8,0.5,0.05,0,5,4.063299656,0.812073231
29,30276,0.8,0.5,0.05,0,5,5.741248608,1.147673845
30,30276,0.8,0.5,0.05,0,5,4.813862562,0.962058496
31,30276,0.8,0.5,0.05,0,5,4.364253521,0.872355509
32,30276,0.8,0.5,0.05,0,5,5.647947073,1.128819704
33,30276,0.8,0.5,0.05,0,5,5.092520714,1.017773914
34,30276,0.8,0.5,0.05,0,5,4.537524223,0.906371069
35,30276,0.8,0.5,0.05,0,5,6.490160942,1.296935129
36,30276,0.8,0.5,0.05,0,5,6.37916708,1.275096703
37,30276,0.8,0.5,0.05,0,5,5.444477081,1.088014841
38,30276,0.8,0.5,0.05,0,5,4.962217808,0.991696405
39,30276,0.8,0.5,0.05,0,5,4.3388834,0.866965389
40,30276,0.8,0.5,0.05,0,5,5.373901129,1.073830605
41,30276,0.8,0.5,0.05,0,5,5.116375923,1.022836971
42,30276,0.8,0.5,0.05,0,5,4.616538286,0.922601795
43,30276,0.8,0.5,0.05,0,5,6.624212742,1.323739386
44,30276,0.8,0.5,0.05,0,5,5.730264187,1.145382166
45,30276,0.8,0.5,0.05,0,5,4.922398806,0.984009743
46,30276,0.8,0.5,0.05,0,5,8.13374114,1.626008177
47,30276,0.8,0.5,0.05,0,5,6.944491863,1.387813044
48,30276,0.8,0.5,0.05,0,5,7.21881032,1.443330717
49,30276,0.8,0.5,0.05,0,5,7.006817102,1.400275469
50,30276,0.8,0.5,0.05,0,5,10.50316143,2.099190855
51,30276,0.8,0.5,0.05,0,5,7.00406146,1.400169754
52,30276,0.8,0.5,0.05,0,5,5.766691685,1.153072548
53,30276,0.8,0.5,0.05,0,5,7.951325893,1.589425325
54,30276,0.8,0.5,0.05,0,5,7.652002811,1.529786968
55,30276,0.8,0.5,0.05,0,5,7.024277687,1.404176903
56,30276,0.8,0.5,0.05,0,5,5.860723257,1.171215963
57,30276,0.8,0.5,0.05,0,5,7.347939253,1.468522024
58,30276,0.8,0.5,0.05,0,5,7.729578495,1.545279026
59,30276,0.8,0.5,0.05,0,5,7.082708836,1.415832901
60,30276,0.8,0.5,0.05,0,5,7.738167524,1.547018003
61,30276,0.8,0.5,0.05,0,5,7.387417316,1.477020216
62,30276,0.8,0.5,0.05,0,5,6.391454935,1.277453041
63,30276,0.8,0.5,0.05,0,5,5.840510607,1.167497206
1,30276,1,0.5,0.05,0,5,6.181658745,1.235565567
2,30276,1,0.5,0.05,0,5,5.876872301,1.174542427
3,30276,1,0.5,0.05,0,5,5.466650486,1.092498207
4,30276,1,0.5,0.05,0,5,7.812854052,1.562047052
5,30276,1,0.5,0.05,0,5,6.297860384,1.259160137
6,30276,1,0.5,0.05,0,5,6.523166656,1.303957796
7,30276,1,0.5,0.05,0,5,5.125743151,1.024670029
8,30276,1,0.5,0.05,0,5,4.962712288,0.991790438
9,30276,1,0.5,0.05,0,5,8.49816823,1.697417879
10,30276,1,0.5,0.05,0,5,6.580771923,1.314547443
11,30276,1,0.5,0.05,0,5,5.49639535,1.098714685
12,30276,1,0.5,0.05,0,5,5.015154123,1.002394247
13,30276,1,0.5,0.05,0,5,7.17106986,1.433813953
14,30276,1,0.5,0.05,0,5,5.777375698,1.154654741
15,30276,1,0.5,0.05,0,5,5.010863543,1.001506519
16,30276,1,0.5,0.05,0,5,6.557588339,1.311003065
17,30276,1,0.5,0.05,0,5,5.654689074,1.13050766
18,30276,1,0.5,0.05,0,5,5.351466894,1.069777822
19,30276,1,0.5,0.05,0,5,8.13353157,1.626178217
20,30276,1,0.5,0.05,0,5,7.636117935,1.526562071
21,30276,1,0.5,0.05,0,5,6.658967018,1.331087875
22,30276,1,0.5,0.05,0,5,6.429531574,1.284962559
23,30276,1,0.5,0.05,0,5,14.80743098,2.959346056
24,30276,1,0.5,0.05,0,5,10.44383335,2.086239815
25,30276,1,0.5,0.05,0,5,7.618854523,1.523120403
26,30276,1,0.5,0.05,0,5,6.414774895,1.282226372
27,30276,1,0.5,0.05,0,5,5.702526093,1.140007162
28,30276,1,0.5,0.05,0,5,4.768138647,0.952759314
29,30276,1,0.5,0.05,0,5,6.437180519,1.286544228
30,30276,1,0.5,0.05,0,5,5.058885813,1.010898781
31,30276,1,0.5,0.05,0,5,9.396152258,1.878167439
32,30276,1,0.5,0.05,0,5,8.956312418,1.790297556
33,30276,1,0.5,0.05,0,5,7.234989882,1.44596014
34,30276,1,0.5,0.05,0,5,5.288125992,1.0570261
35,30276,1,0.5,0.05,0,5,7.54227376,1.507876635
36,30276,1,0.5,0.05,0,5,7.5797019,1.514854765
37,30276,1,0.5,0.05,0,5,6.602504969,1.319993639
38,30276,1,0.5,0.05,0,5,5.429819107,1.085224009
39,30276,1,0.5,0.05,0,5,5.029044151,1.004991293
40,30276,1,0.5,0.05,0,5,6.384290218,1.276744699
41,30276,1,0.5,0.05,0,5,5.625802517,1.124390364
42,30276,1,0.5,0.05,0,5,5.127878428,1.024901819
43,30276,1,0.5,0.05,0,5,6.342477083,1.267609692
44,30276,1,0.5,0.05,0,5,7.677758694,1.534336424
45,30276,1,0.5,0.05,0,5,5.111582518,1.022115421
46,30276,1,0.5,0.05,0,5,7.180244207,1.435440016
47,30276,1,0.5,0.05,0,5,7.763721943,1.552315807
48,30276,1,0.5,0.05,0,5,5.959007263,1.191338491
49,30276,1,0.5,0.05,0,5,5.134642839,1.026147556
50,30276,1,0.5,0.05,0,5,6.382712126,1.275963354
51,30276,1,0.5,0.05,0,5,5.906517744,1.180980253
52,30276,1,0.5,0.05,0,5,6.024750233,1.204120684
53,30276,1,0.5,0.05,0,5,7.062463522,1.411980581
54,30276,1,0.5,0.05,0,5,7.02349782,1.403940773
55,30276,1,0.5,0.05,0,5,5.426160097,1.084600973
56,30276,1,0.5,0.05,0,5,4.912953615,0.981824017
57,30276,1,0.5,0.05,0,5,6.348850727,1.26853981
58,30276,1,0.5,0.05,0,5,5.846986294,1.168428421
59,30276,1,0.5,0.05,0,5,5.420291901,1.083160591
60,30276,1,0.5,0.05,0,5,9.463878632,1.891816664
61,30276,1,0.5,0.05,0,5,7.371177435,1.473059845
62,30276,1,0.5,0.05,0,5,6.378727198,1.274654007
63,30276,1,0.5,0.05,0,5,5.47742939,1.094401407
